title,company,location,description,salary_min,salary_max,contract_type,category,created_date,redirect_url,source,search_term,search_location,collected_date
Business Analyst - Generative AI,KPI Partners,"San Francisco, California","About KPI Partners KPI Partners is a 5 times Gartner recognized data, analytics, and AI consulting company. We are leaders in data engineering on Azure, AWS, Google, Snowflake and Databricks. Founded in 2006, KPI has over 400 consultants and has successfully delivered over 1,000 projects to our clients. We are looking for skilled Business Analysts who want to work with the best team in data engineering. Title: Business Analyst – Generative AI Location: On-Site Fremont, CA Work Hours: PST Zone (…",110182.66,110182.66,,IT Jobs,2025-06-25T12:29:52Z,https://www.adzuna.com/details/5267657090?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
AI Deployment Engineer,Harnham,"San Francisco, California","AI Deployment Engineer Salary: $140,000 – $180,000 base  equity Location: Onsite, Full-Time, San Francisco Be the face of a cutting-edge AI product transforming how businesses engage with customers. This is your chance to work at the intersection of AI and real-world deployment—guiding clients from onboarding to full-scale rollout. You’ll play a crucial role in making sure advanced AI technology delivers tangible results for businesses of all sizes. The Company The organization builds AI-powere…",194083.64,194083.64,,IT Jobs,2025-06-25T12:29:15Z,https://www.adzuna.com/details/5267656252?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
DevOps Architect,Oxenham Group,"San Francisco, California","Key for this Role Design, implement, and maintain CI/CD pipelines using full AWS suite of tools Manage Docker-based development and deployment environments for a system that interfaces with robotics hardware. Troubleshoot build and deployment issues in a largely C++/Python codebase with a Microservice Architecture Collaborate closely with software engineers to understand a large complex codebase for a cutting edge robotics application Work independently, referencing large knowledge base of docu…",126045.24,126045.24,,IT Jobs,2025-06-25T12:29:06Z,https://www.adzuna.com/details/5267655913?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
Remote Senior Software Engineer - 34123,Turing,"San Francisco, California","About the projects: We are building LLM evaluation and training datasets to train LLM to work on realistic software engineering problems. One of our approaches, in this project, is to build verifiable SWE tasks based on public repository histories in a synthetic approach with human-in-the-loop; while expanding the dataset coverage to different types of tasks in terms of programming language, difficulty level, and etc. About the Role: We are looking for experienced software engineers (tech lead …",115769.8,115769.8,,IT Jobs,2025-06-25T12:28:07Z,https://www.adzuna.com/details/5267655002?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
"Energy Management Systems Manager (0480U), Facilities Services - 78966","University of California, Berkeley","San Francisco, California","*Energy Management Systems Manager (0480U), Facilities Services - 78966* *About Berkeley* At the University of California, Berkeley, we are dedicated to fostering a community where everyone feels welcome and can thrive. Our culture of openness, freedom and belonging make it a special place for students, faculty and staff. As a world-leading institution, Berkeley is known for its academic and research excellence, public mission, diverse student body, and commitment to equity and social justice. …",156373.23,156373.23,,Engineering Jobs,2025-06-25T11:58:57Z,https://www.adzuna.com/land/ad/5267643895?se=YA0pueRR8BGDDIRoo7hLsQ&utm_medium=api&utm_source=9c54ed3b&v=2DC754E892ECE87267FB0F8B72BC43F735722E09,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
Solutions Engineer - Data Transformation & Insights (Remote US),Datameer,"San Francisco, California","Job Description Job Description Salary: Solutions Engineer - Data Transformation & Insights (Remote US) Unlock the Power of Data. Drive Enterprise Innovation. Do you want to apply your technological passion to deliver data solutions that drive measurable business value? Do you thrive in a fast-paced, innovative environment? Datameer, backed by leading investors like ST Telemedia, KPCB and Redpoint Ventures, is revolutionizing how Fortune 100 companies leverage data. Leveraging our cloud-native …",183567.62,183567.62,,IT Jobs,2025-06-25T11:48:34Z,https://www.adzuna.com/details/5267632021?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
WATER RESOURCES ENGINEER II,Lotus Water,"San Francisco, California","Job Description Job Description Salary: DOE Lotus Water is seeking a mid-level design engineer, with 3-5 years of experience, to support our San Francisco office. Lotus is continuing to grow our Civil Engineering practice with design projects that integrate sustainable water management design elements, onsite water reuse, resilient design, and/or green stormwater infrastructure. Candidates should have a strong technical understanding of the site development process and the ability to manage the…",95700.23,95700.23,,Engineering Jobs,2025-06-25T11:47:29Z,https://www.adzuna.com/details/5267628286?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
Staff Developer,"Daybreak AI, Inc.","San Francisco, California","Job Description Job Description Salary: Staff Developer Agent Team About Daybreak At Daybreak, our mission is to Break Barriers. Every Day. We build AI-native enterprise software to help manufacturers and supply chains around the world eliminate waste and volatility. Traditional rules-based systems arent equipped to handle todays fast-changing environments so were designing intelligent systems that think, adapt, and learn. The Staff Developer will be responsible for leading the architecture and…",216979.8,216979.8,,IT Jobs,2025-06-25T11:46:21Z,https://www.adzuna.com/details/5267625781?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
Senior Principal Solutions Architect,Skedulo,"San Francisco, California","Job Description Job Description Salary: Here at Skedulo were on a mission to support the 2.7 billion people in the worldand the companies that employ themwho do not work at a desk every day. Our global teams are collaborative, ambitious, innovative, and passionate about helping our customers realize their fullest potential by enabling their mobile workforces. The Skedulo team is a tight-knit group of builders who are passionate about shaping our platform that is relied upon daily by thousands o…",191814.08,191814.08,,IT Jobs,2025-06-25T11:45:34Z,https://www.adzuna.com/details/5267624038?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
"Software Engineer, Computational Photography",Jobleads-US,"San Francisco, California","Rylo is a powerful camera that captures everything around you and creates exceptionally smooth, beautiful video that's easy to share. Developed by a team of former Instagram and Apple engineers, Rylo’s breakthrough stabilization software and smartphone app eliminate the traditional pain points of shooting, editing, and sharing videos. With Rylo, you don’t have to worry about framing your shot or holding the camera steady to capture a video you’re proud to share — simply hit record and make the …",102285.81,102285.81,,Engineering Jobs,2025-06-25T11:44:48Z,https://www.adzuna.com/details/5267621070?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
"Engineer, Electrical",AlfaTech,"San Francisco, California","Job Description Job Description Salary: $85,000-$120,000 ________________________________________________________________ Engineer, Electrical About Us At AlfaTech we believe in more than just engineering solutions; we believe in promoting a culture of agility, collaboration, and inclusion. As a leading consulting engineering firm, we provide thoughtful engineering design that is technologically forward thinking, innovative, and environmentally conscious, ensuring that our contribution to our b…",101897.15,101897.15,,Engineering Jobs,2025-06-25T11:44:40Z,https://www.adzuna.com/land/ad/5267620562?se=YA0pueRR8BGDDIRoo7hLsQ&utm_medium=api&utm_source=9c54ed3b&v=44F76253F13DEAC47E4A251AA0508AC8ABCE5712,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
"Design Engineer, Electrical",AlfaTech,"San Francisco, California","Job Description Job Description Salary: $80,000-$100,000 ______________________________________________________________________ Design Engineer, Electrical About Us At AlfaTech we believe in more than just engineering solutions; we believe in promoting a culture of agility, collaboration, and inclusion. As a leading consulting engineering firm, we provide thoughtful engineering design that is technologically forward thinking, innovative, and environmentally conscious, ensuring that our contribu…",101309.95,101309.95,,Engineering Jobs,2025-06-25T11:44:23Z,https://www.adzuna.com/details/5267619740?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
